"","Country name","Year","Life Ladder","Log GDP per capita","Social support","Healthy life expectancy at birth","Freedom to make life choices","Generosity","Perceptions of corruption","Positive affect","Negative affect","Confidence in national government","Democratic Quality","Delivery Quality","Standard deviation of ladder by country-year","Standard deviation/Mean of ladder by country-year","gini of household income reported in Gallup, by wp5-year"
"40","Cambodia",2018,5.1218376159668,8.25335216522217,0.794605374336243,61.5999984741211,0.958304822444916,0.03378676623106,NA,0.8445925116539,0.414345800876617,NA,NA,NA,2.91145253181458,0.568439066410065,0.603439152240753
"41","Cameroon",2017,5.07405138015747,8.12116146087646,0.694596409797668,51.9000015258789,0.766945004463196,-0.0315709635615349,0.843585610389709,0.632338762283325,0.377498745918274,0.578775525093079,-1.06689774990082,-0.962742328643799,2.81522440910339,0.554827749729156,0.56523722410202
"42","Cameroon",2018,5.25073766708374,8.13347053527832,0.676825225353241,52.7000007629395,0.816304981708527,0.0325069166719913,0.884441614151001,0.642436504364014,0.355642408132553,0.645226299762726,NA,NA,2.92131352424622,0.556362509727478,0.521751046180725
"43","Canada",2017,7.41486835479736,10.6923446655273,0.933748960494995,73.4000015258789,0.945145010948181,0.155016168951988,0.362034320831299,0.862773478031158,0.217981159687042,0.652735948562622,1.29528379440308,1.86652767658234,1.60336375236511,0.216236308217049,0.60134893655777
"44","Canada",2018,7.17549657821655,10.7012481689453,0.92271876335144,73.5999984741211,0.945782899856567,0.0979661270976067,0.371740847826004,0.823668658733368,0.259397655725479,0.61046689748764,NA,NA,1.76445746421814,0.245900392532349,0.46544224023819
"45","Central African Republic",2017,3.4758620262146,6.49411678314209,0.319589138031006,45.2000007629395,0.645252346992493,0.0937543585896492,0.889566004276276,0.613865196704865,0.599335491657257,0.650284886360168,-1.52312183380127,-1.53873252868652,2.80707383155823,0.80759072303772,0.715371251106262
"46","Chad",2017,4.55893707275391,7.47769117355347,0.660615563392639,47.7000007629395,0.61484968662262,-0.00491950381547213,0.792389929294586,0.627503156661987,0.538245439529419,0.473544389009476,-1.35647988319397,-1.34958696365356,2.88096046447754,0.63193690776825,0.561519265174866
"47","Chad",2018,4.48632526397705,7.47257471084595,0.577253580093384,48.2000007629395,0.650354564189911,0.0113400863483548,0.762879312038422,0.552737295627594,0.543836236000061,0.577436029911041,NA,NA,3.10762143135071,0.692687511444092,0.607654750347137
"48","Chile",2017,6.32011938095093,10.0330686569214,0.879840791225433,69.8000030517578,0.790116488933563,-0.0302612632513046,0.835987508296967,0.838474810123444,0.29104208946228,0.268283307552338,0.688375234603882,1.05940806865692,2.16242027282715,0.342148631811142,0.574647009372711
"49","Chile",2018,6.43622064590454,10.0659198760986,0.89008492231369,69.9000015258789,0.788530349731445,-0.0706158429384232,0.81629741191864,0.832562208175659,0.275820225477219,0.334744155406952,NA,NA,2.15299844741821,0.334512829780579,0.434312701225281
"50","China",2017,5.09906148910522,9.63617706298828,0.772033214569092,69,0.877617597579956,-0.191224813461304,NA,0.821097254753113,0.214004755020142,NA,-0.87781023979187,-0.0645545125007629,2.27166390419006,0.445506274700165,0.633354961872101
"51","China",2018,5.13143396377563,9.69437599182129,0.787605345249176,69.3000030517578,0.895377695560455,-0.174899160861969,NA,0.855783879756927,0.189639791846275,NA,NA,NA,2.26285910606384,0.440979868173599,0.538205683231354
"52","Colombia",2017,6.15734195709229,9.49212646484375,0.90924996137619,67.4000015258789,0.837554633617401,-0.162942990660667,0.875018119812012,0.836926996707916,0.299308955669403,0.221882596611977,-0.337445110082626,-0.113991968333721,2.5448215007782,0.413298726081848,0.542027473449707
