Name,Condition,Price,Purchase Option,Shipping Cost
GUNDAM FIX FIGURATION METAL COMPOSITE Wing Gundam Zero (EW version),Brand New,$644.98,Buy It Now,+$30.00 shipping
Gundam Fix Figuration Metal Composite RX-78-02 GUNDAM (40th Anniversary Ver) JP,Brand New,$248.00,Buy It Now,+$20.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE O Gundam limited item,Brand New,$494.32,Buy It Now,+$20.00 shipping
NEW GUNDAM FIX FIGURATION METAL COMPOSITE Psycho Gundam Gloss Color Ver. F/S,Brand New,$392.89,Buy It Now,Free Shipping
Gundam Fix Figuration Metal Composite Unicorn Unit 3 Phenex Gff Product,Pre-Owned,$439.30,or Best Offer,Free Shipping
NEW GUNDAM FIX FIGURATION METAL COMPOSITE #1005 MSZ-006A1 Zplus RED Ver BANDAI ,Brand New,$376.83,Buy It Now,+$25.00 shipping
New! METAL COMPOSITE Unicorn Gundam Unit 3 Phenex GUNDAM FIX FIGURATION,Brand New,$347.32,Buy It Now,+$100.00 shipping
Gundam Fix Figuration #1005 Metal Composite MSZ-006A1/C1 Bst Zplus Red Ver,Brand New,$295.48,Buy It Now,Free Shipping
BANDAI GUNDAM FIX FIGURATION METAL COMPOSITE Mobile Suit MS-06C Zaku II PSL,Brand New,$377.99,Buy It Now,+$20.00 shipping
2 body set GUNDAM FIX FIGURATION METAL COMPOSITE  40th Anniversary ver  Chogokin,Brand New,$660.00,Buy It Now,+$20.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-2 GUNDAM Ver.Ka (roll out color),Brand New,$565.00,or Best Offer,+$20.00 shipping
Gundam Fix Figuration Metal Composite MS-06C Zaku II Type C GFFMC APRIL-RELEASE,Brand New,$269.51,Buy It Now,+$29.80 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE MS-06C Zaku II Type C  [1-828,Brand New,$336.07,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX78-02 GUNDAM 40th ANNIV. Ver BANDAI #c74,Brand New,$279.42,Buy It Now,+$35.01 shipping
