Symbol,Date,Time,Open Time,Open Bid Price,Open Bid Size,Open Ask Price,Open Ask Size,High Bid Time,High Bid Price,High Bid Size,Ask Price at High Bid,Ask Size at High Bid,Low Ask Time,Bid Price at Low Ask,Bid Size at Low Ask,Low Ask Price,Low Ask Size,Close Time,Close Bid Price,Close Bid Size,Close Ask Price,Close Ask Size,Max. Spread,Min. Spread,NBBO Count
GLP,03/03/2014,13:08,13:07:56.580,38.24,1,38.44,1,13:07:56.580,38.24,1,38.44,1,13:07:56.580,38.24,1,38.44,1,13:07:56.580,38.24,1,38.44,1,0.20,0.20,1
GLP,03/03/2014,13:09,13:08:53.454,38.24,1,38.45,1,13:08:53.454,38.24,1,38.45,1,13:08:53.454,38.24,1,38.45,1,13:08:53.454,38.24,1,38.45,1,0.21,0.21,1
GLP,03/03/2014,13:10,13:09:57.499,38.24,1,38.44,1,13:09:57.499,38.24,1,38.44,1,13:09:57.499,38.24,1,38.44,1,13:09:57.499,38.24,1,38.44,1,0.20,0.20,1
GLP,03/03/2014,13:11,13:10:55.437,38.24,1,38.45,1,13:10:55.437,38.24,1,38.45,1,13:10:55.437,38.24,1,38.45,1,13:10:55.437,38.24,1,38.45,1,0.21,0.21,1
GLP,03/03/2014,13:12,13:11:51.414,38.35,1,38.45,1,13:11:51.414,38.35,1,38.45,1,13:11:51.414,38.35,1,38.45,1,13:11:57.626,38.35,1,38.45,1,0.10,0.10,3
GLP,03/03/2014,13:13,13:12:14.457,38.4,1,38.45,1,13:12:14.457,38.4,1,38.45,1,13:12:14.457,38.4,1,38.45,1,13:12:20.820,38.4,1,38.46,15,0.06,0.05,4
GLP,03/03/2014,13:14,13:13:00.511,38.4,2,38.46,15,13:13:00.511,38.4,2,38.46,15,13:13:00.511,38.4,2,38.46,15,13:13:00.511,38.4,2,38.46,15,0.06,0.06,1
GLP,03/03/2014,13:16,13:15:25.552,38.41,1,38.46,15,13:15:25.552,38.41,1,38.46,15,13:15:25.552,38.41,1,38.46,15,13:15:29.117,38.41,2,38.46,15,0.05,0.05,2
GLP,03/03/2014,13:18,13:17:01.761,38.41,2,38.46,14,13:17:04.514,38.44,1,38.46,15,13:17:01.761,38.41,2,38.46,14,13:17:28.495,38.43,3,38.46,13,0.05,0.02,7
GLP,03/03/2014,13:31,13:30:25.002,38.43,3,38.44,1,13:30:25.002,38.43,3,38.44,1,13:30:25.002,38.43,3,38.44,1,13:30:55.299,38.2,2,38.45,1,0.25,0.01,11
GLP,03/03/2014,13:34,13:33:51.411,38.2,2,38.44,1,13:33:51.411,38.2,2,38.44,1,13:33:51.411,38.2,2,38.44,1,13:33:51.411,38.2,2,38.44,1,0.24,0.24,1
GLP,03/03/2014,13:39,13:38:54.587,38.2,2,38.46,10,13:38:54.587,38.2,2,38.46,10,13:38:54.587,38.2,2,38.46,10,13:38:54.587,38.2,2,38.46,10,0.26,0.26,1
GLP,03/03/2014,13:40,13:39:49.449,38.2,2,38.45,1,13:39:49.449,38.2,2,38.45,1,13:39:49.449,38.2,2,38.45,1,13:39:49.449,38.2,2,38.45,1,0.25,0.25,1
GLP,03/03/2014,13:41,13:40:47.460,38.2,2,38.46,10,13:40:47.460,38.2,2,38.46,10,13:40:47.460,38.2,2,38.46,10,13:40:47.460,38.2,2,38.46,10,0.26,0.26,1
GLP,03/03/2014,13:42,13:41:47.509,38.2,2,38.45,1,13:41:47.509,38.2,2,38.45,1,13:41:47.509,38.2,2,38.45,1,13:41:47.509,38.2,2,38.45,1,0.25,0.25,1
GLP,03/03/2014,13:43,13:42:42.509,38.2,2,38.46,10,13:42:42.509,38.2,2,38.46,10,13:42:42.509,38.2,2,38.46,10,13:42:42.509,38.2,2,38.46,10,0.26,0.26,1
GLP,03/03/2014,13:44,13:43:39.455,38.2,2,38.45,1,13:43:39.505,38.21,1,38.45,1,13:43:39.537,38.21,1,38.44,1,13:43:42.032,38.21,1,38.44,1,0.25,0.23,4
GLP,03/03/2014,13:50,13:49:19.016,38.22,1,38.44,1,13:49:53.135,38.34,1,38.46,10,13:49:19.016,38.22,1,38.44,1,13:49:54.026,38.34,1,38.46,10,0.22,0.12,21
GLP,03/03/2014,13:51,13:50:23.130,38.35,1,38.46,10,13:50:28.903,38.36,1,38.46,10,13:50:23.130,38.35,1,38.46,10,13:50:29.554,38.36,1,38.46,10,0.12,0.10,6
